National Dex #,Location Black,Location White,Location Black 2,Location White 2
417,Trade,Trade,Route 3 (Hidden Hole),Route 3 (Hidden Hole)
418,"Routes 11, 14","Routes 11, 14","Routes 11, 14, 23, Lostlorn Forest, Victory Road","Routes 11, 14, 23, Lostlorn Forest, Victory Road"
419,"Routes 11, 14","Routes 11, 14","Routes 11, 14, 23, Lostlorn Forest, Victory Road, Nature Sanctuary","Routes 11, 14, 23, Lostlorn Forest, Victory Road, Nature Sanctuary"
420,Trade,Trade,Trade,Trade
421,Route 12,Route 12,Trade,Trade
422,Trade,Trade,Trade in Nimbasa City,Trade in Nimbasa City
423,Trade,Trade,Evolution,Evolution
424,Trade,Trade,Trade in Accumula Town,Trade in Accumula Town
425,Breeding,Breeding,Route 13 (Hidden Hole),Route 13 (Hidden Hole)
426,"Routes 13, 14, Giant Chasm","Routes 13, 14, Giant Chasm","Routes 13, 14, Reverse Mountain","Routes 13, 14, Reverse Mountain"
427,Trade,Trade,Castelia City,Trade
428,Trade,Trade,Castelia City,Trade
429,Trade,Abundant Shrine,Trade,Trade
430,Abundant Shrine,Trade,Trade,Hidden Holes During Missions
431,Trade,Trade,Trade,Trade
432,Trade,Trade,Trade,Trade
433,Trade,Trade,Trade,Trade
434,Trade,Trade,Hidden Holes During Missions,Trade
435,Trade,Trade,Trade,Trade
436,Breeding,Breeding,Abundant Shrine,Abundant Shrine
437,Abundant Shrine,Abundant Shrine,Abundant Shrine,Abundant Shrine
438,Trade,Trade,Breeding,Trade
439,Trade,Trade,Trade,Breeding
440,Trade,White Forest,Nacrene City (Gift),Nacrene City (Gift)
441,Trade,Trade,Route 18 (Hidden Hole),Route 18 (Hidden Hole)
442,Trade,Trade,Trade in Nimbasa City,Trade in Nimbasa City
443,Trade,Trade,Sangi Town (Gift),Trade
444,Trade,Trade,Evolution,Trade
445,Trade,Trade,Evolution,Trade
446,Trade in Undella Town,Trade in Undella Town,Breeding,Breeding
447,Challenger's Cave,Challenger's Cave,Sangi Ranch,Sangi Ranch
448,Evolution,Evolution,Evolution,Evolution
449,Route 4 (Swarm),Route 4 (Swarm),Breeding,Breeding
450,Evolution,Evolution,Desert Resort (Swarm),Desert Resort (Swarm)
451,Trade,Trade,Reverse Mountain; Route 13 (Hidden Hole),Reverse Mountain; Route 13 (Hidden Hole)
452,Trade,Trade,Evolution,Evolution
453,Route 8 (Swarm),Route 8 (Swarm),"Route 8, Moor of Icirrus, Icirrus City (Spring, Summer, Autumn)","Route 8, Moor of Icirrus, Icirrus City (Spring, Summer, Autumn)"
454,Evolution,Evolution,Pinwheel Forest,Pinwheel Forest
455,Trade,Trade,Route 18,Route 18
456,"Routes 17, 18, P2 Laboratory","Routes 17, 18, P2 Laboratory","Routes 4, 17, 18, Virbank City, Virbank Complex, P2 Laboratory","Routes 4, 17, 18, Virbank City, Virbank Complex, P2 Laboratory"
457,"Routes 17, 18, P2 Laboratory","Routes 17, 18, P2 Laboratory","Routes 4, 17, 18, Virbank City, Virbank Complex, P2 Laboratory","Routes 4, 17, 18, Virbank City, Virbank Complex, P2 Laboratory"
458,"Undella Town, Undella Bay","Undella Town, Undella Bay","Route 21 (All Seasons); Undella Bay (Spring, Summer, Autumn)","Route 21 (All Seasons); Undella Bay (Spring, Summer, Autumn)"
459,Trade,Trade,Trade,Trade
460,Trade,Trade,Trade,Trade
461,Evolution,Evolution,Evolution,Evolution
462,Trade,Evolution,P2 Laboratory,P2 Laboratory
463,Evolution,Evolution,Route 2,Route 2
464,Trade,Evolution,Evolution,Evolution
465,"Route 13, Giant Chasm","Route 13, Giant Chasm","Route 13, Giant Chasm","Route 13, Giant Chasm"
466,Trade,Evolution,Trade,Evolution
467,Trade,Evolution,Evolution,Trade
468,Trade,Evolution,Evolution,Evolution
469,Evolution,Evolution,"Route 3, Pinwheel Forest","Route 3, Pinwheel Forest"
470,Trade,Trade,Evolution,Evolution
471,Trade,Trade,Evolution,Evolution
472,"Routes 11, 15","Routes 11, 15","Routes 11, 15, 23","Routes 11, 15, 23"
473,Giant Chasm,Giant Chasm,Giant Chasm,Giant Chasm
474,Trade,Evolution,Trade,Trade
475,Trade,Evolution,Evolution,Evolution
476,Trade,Trade,Evolution,Evolution
477,Trade,Trade,Trade,Trade
478,Trade,Trade,Trade,Trade
479,Trade in Route 15,Trade in Route 15,Trade in Route 15,Trade in Route 15
480,Trade,Trade,Nacrene City (One Available),Nacrene City (One Available)
481,Trade,Trade,Celestial Tower (One Available),Celestial Tower (One Available)
482,Trade,Trade,Route 23 (One Available),Route 23 (One Available)
483,Trade,Trade,Trade,Trade
484,Trade,Trade,Trade,Trade
485,Trade,Trade,Reverse Mountain (One Available),Reverse Mountain (One Available)
486,Trade,Trade,Twist Mountain (One Available),Twist Mountainv
487,Trade,Trade,Trade,Trade
488,Trade,Trade,Marvelous Bridge (One Available),Marvelous Bridge (One Available)
489,Trade,Trade,Trade,Trade
490,Trade,Trade,Trade,Trade
491,Trade,Trade,Trade,Trade
492,Trade,Trade,Trade,Trade
493,Trade,Trade,Trade,Trade
494,Liberty Garden,Liberty Garden,Trade,Trade
495,Nuvema Town (Starter),Nuvema Town (Starter),Aspertia City (Starter),Aspertia City (Starter)
496,Evolution,Evolution,Evolution,Evolution
497,Evolution,Evolution,Evolution,Evolution
498,Nuvema Town (Starter),Nuvema Town (Starter),Aspertia City (Starter),Aspertia City (Starter)
499,Evolution,Evolution,Evolution,Evolution
500,Evolution,Evolution,Evolution,Evolution
501,Nuvema Town (Starter),Nuvema Town (Starter),Aspertia City (Starter),Aspertia City (Starter)
502,Evolution,Evolution,Evolution,Evolution
503,Evolution,Evolution,Evolution,Evolution
504,"Routes 1, 2, Dreamyard","Routes 1, 2, Dreamyard","Routes 19, 20, Sangi Ranch, Virbank Complex","Routes 19, 20, Sangi Ranch, Virbank Complex"
505,"Routes 1, 7, 15, 18, Dreamyard, P2 Laboratory","Routes 1, 7, 15, 18, Dreamyard, P2 Laboratory","Routes 1, 2, 3, 7, 18, Dreamyard, P2 Laboratory; Routes 2, 7 (Hidden Holes)","Routes 1, 2, 3, 7, 18, Dreamyard, P2 Laboratory; Routes 2, 7 (Hidden Holes)"
506,"Routes 1, 2, 3","Routes 1, 2, 3",Sangi Ranch,Sangi Ranch
507,"Routes 1, 10, Cold Storage, P2 Laboratory","Routes 1, 10, Cold Storage, P2 Laboratory","Routes 1, 2, 3, P2 Laboratory; Sangi Ranch (Hidden Hole)","Routes 1, 2, 3, P2 Laboratory; Sangi Ranch (Hidden Hole)"
508,"Route 10, Cold Storage, P2 Laboratory","Route 10, Cold Storage, P2 Laboratory","Routes 1, 2, 3, P2 Laboratory","Routes 1, 2, 3, P2 Laboratory"
509,"Routes 2, 3, Dreamyard","Routes 2, 3, Dreamyard","Routes 3, 19, 20","Routes 3, 19, 20"
510,"Routes 5, 9, 16, Dreamyard","Routes 5, 9, 16, Dreamyard","Route 3, 5, 9, 16, Dreamyard; Routes 5, 9 (Hidden Holes)","Route 3, 5, 9, 16, Dreamyard; Routes 5, 9 (Hidden Holes)"
511,"Dreamyard (Gift), Pinwheel Forest, Lostlorn Forest","Dreamyard (Gift), Pinwheel Forest, Lostlorn Forest","Lostlorn Forest, Pinwheel Forest","Lostlorn Forest, Pinwheel Forest"
512,Evolution,Evolution,Evolution,Evolution
513,"Dreamyard (Gift), Pinwheel Forest, Lostlorn Forest","Dreamyard (Gift), Pinwheel Forest, Lostlorn Forest","Lostlorn Forest, Pinwheel Forest","Lostlorn Forest, Pinwheel Forest"
514,Evolution,Evolution,Evolution,Evolution
515,"Dreamyard (Gift), Pinwheel Forest, Lostlorn Forest","Dreamyard (Gift), Pinwheel Forest, Lostlorn Forest","Lostlorn Forest, Pinwheel Forest","Lostlorn Forest, Pinwheel Forest"
516,Evolution,Evolution,Evolution,Evolution
517,Dreamyard,Dreamyard,Dreamyard,Dreamyard
518,Dreamyard,Dreamyard,Dreamyard,Dreamyard
519,"Route 3, Pinwheel Forest","Route 3, Pinwheel Forest","Route 20, Sangi Ranch, Virbank Complex, Castelia City","Route 20, Sangi Ranch, Virbank Complex, Castelia City"
520,"Routes 6, 7, 12, Pinwheel Forest, Lostlorn Forest, Dragonspiral Tower","Routes 6, 7, 12, Pinwheel Forest, Lostlorn Forest, Dragonspiral Tower","Routes 3, 6, 7, 12, Victory Road (All Seasons); Dragonspiral Tower (Winter)","Routes 3, 6, 7, 12, Victory Road"
521,"Routes 6, 7, 12, Pinwheel Forest, Lostlorn Forest, Dragonspiral Tower","Routes 6, 7, 12, Pinwheel Forest, Lostlorn Forest, Dragonspiral Tower","Routes 3, 6, 7, 12, Victory Road (All Seasons); Dragonspiral Tower (Winter)","Routes 3, 6, 7, 12, Victory Road (All Seasons); Dragonspiral Tower (Winter)"
522,Route 3,Route 3,Breeding,Breeding
523,Route 7,Route 7,"Routes 3, 7","Routes 3, 7"
524,Wellspring Cave,Wellspring Cave,Relic Path,Relic Path
525,"Chargestone Cave, Mistralton Cave, Twist Mountain, Victory Road, Giant Chasm","Chargestone Cave, Mistralton Cave, Twist Mountain, Victory Road, Giant Chasm","Relic Path, Chargestone Cave, Mistralton Cave, Reverse Mountain, Seaside Cave, Victory Road, Wellspring Cave, Clay Road, Twist Mountain","Relic Path, Chargestone Cave, Mistralton Cave, Reverse Mountain, Seaside Cave, Victory Road, Wellspring Cave, Clay Road, Twist Mountain"
526,Evolution,Evolution,Trade in Route 7,Trade in Route 7
527,"Wellspring Cave, Chargestone Cave, Mistralton Cave, Twist Mountain, Victory Road, Challenger's Cave","Wellspring Cave, Chargestone Cave, Mistralton Cave, Twist Mountain, Victory Road, Challenger's Cave","Relic Path, Mistralton Cave, Reverse Mountain, Seaside Cave, Wellspring Cave, Clay Road, Twist Mountain; Route 6 (Hidden Hole)","Relic Path, Mistralton Cave, Reverse Mountain, Seaside Cave, Wellspring Cave, Clay Road, Twist Mountain, Route 6 (Hidden Hole)"
528,Evolution,Evolution,Evolution,Evolution
529,"Wellspring Cave, Chargestone Cave, Mistralton Cave, Twist Mountain","Wellspring Cave, Chargestone Cave, Mistralton Cave, Twist Mountain","Relic Path, Chargestone Cave, Mistralton Cave","Relic Path, Chargestone Cave, Mistralton Cave"
530," Victory Road, Giant Chasm, Challenger's Cave"," Victory Road, Giant Chasm, Challenger's Cave","Reverse Mountain, Seaside Cave, Giant Chasm, Victory Road, Wellspring Cave, Twist Mountain, Clay Road","Reverse Mountain, Seaside Cave, Giant Chasm, Victory Road, Wellspring Cave, Twist Mountain, Clay Road"
531,"Routes 1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, Dreamyard, Pinwheel Forest, Cold Storage, Dragonspiral Tower, Village Bridge, Giant Chasm, Lostlorn Forest, Abundant Shrine, P2 Laboratory","Routes 1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, Dreamyard, Pinwheel Forest, Cold Storage, Dragonspiral Tower, Village Bridge, Giant Chasm, Lostlorn Forest, Abundant Shrine, P2 Laboratory","Routes 1, 2, 3, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, Sangi Ranch, Virbank Complex, Dreamyard, Pinwheel Forst, Castelia City, Lostlorn Forest, Village Bridge, Reverse Mountain, Giant Chasm, Abundant Shrine, Victory Road, Dragonspiral Tower, ","Routes 1, 2, 3, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, Sangi Ranch, Virbank Complex, Dreamyard, Pinwheel Forst, Castelia City, Lostlorn Forest, Village Bridge, Reverse Mountain, Giant Chasm, Abundant Shrine, Victory Road, Dragonspiral Tower, "
532,"Pinwheel Forest, Cold Storage","Pinwheel Forest, Cold Storage",Relic Path,Relic Path
533,Twist Mountain,Twist Mountain,"Relic Path, Pinwheel Forest, Victory Road, Twist Mountain","Relic Path, Pinwheel Forest, Victory Road, Twist Mountain"
534,Evolution,Evolution,Evolution,Evolution
535,Pinwheel Forest,Pinwheel Forest,Breeding,Breeding
536,"Route 8, Moor of Icirrus, Icirrus City","Route 8, Moor of Icirrus, Icirrus City","Route 8, Pinwheel Forest (All Seasons); Moor of Icirrus, Icirrus City (Spring, Summer, Autumn)","Route 8, Pinwheel Forest (All Seasons); Moor of Icirrus, Icirrus City (Spring, Summer, Autumn)"
537,"Route 8, Moor of Icirrus, Icirrus City","Route 8, Moor of Icirrus, Icirrus City","Route 8, Moor of Icirrus, Icirrus City, Pinwheel Forest","Route 8, Moor of Icirrus, Icirrus City, Pinwheel Forest"
538,"Routes 10, 16, 18, Pinwheel Forest","Routes 10, 16, 18, Pinwheel Forest","Routes 15, 18, 23, Victory Road, Pinwheel Forest","Routes 15, 18, 23, Victory Road, Pinwheel Forest"
539,"Routes 10, 16, 18, Pinwheel Forest","Routes 10, 16, 18, Pinwheel Forest","Routes 15, 18, 23, Victory Road, Pinwheel Forest","Routes 15, 18, 23, Victory Road, Pinwheel Forest"
540,Pinwheel Forest,Pinwheel Forest,"Routes 12, 20","Routes 12, 20"
541,"Route 6, Pinwheel Forest, Lostlorn Forest","Route 6, Pinwheel Forest, Lostlorn Forest","Route 6, Lostlorn Forest, Pinwheel Forest","Route 6, Lostlorn Forest, Pinwheel Forest"
542,"Route 6, Lostlorn Forest","Route 6, Lostlorn Forest","Routes 6, 12, Lostlorn Forest","Routes 6, 12, Lostlorn Forest"
543,"Pinwheel Forest, Lostlorn Forest","Pinwheel Forest, Lostlorn Forest","Route 20, Lostlorn Forest","Route 20, Lostlorn Forest"
544,Pinwheel Forest,Pinwheel Forest,"Lostlorne Forest, Pinwheel Forest","Lostlorn Forest, Pinwheel Forest"
545,Evolution,Evolution,Pinwheel Forest,Pinwheel Forest
546,"Pinwheel Forest, Lostlorn Forest, Abundant Shrine",Trade,"Castelia City, Lostlorn Forest, Victory Road, Abundant Shrine, Pinwheel Forest",Trade
547,"Pinwheel Forest, Lostlorn Forest, Abundant Shrine",Trade,"Castelia City, Lostlorn Forest, Victory Road, Abundant Shrine, Pinwheel Forest",Trade
548,Trade,"Pinwheel Forest, Lostlorn Forest, Abundant Shrine",Trade,"Castelia City, Lostlorn Forest, Victory Road, Abundant Shrine, Pinwheel Forest"
549,Trade,"Pinwheel Forest, Lostlorn Forest, Abundant Shrine",Trade,"Castelia City, Lostlorn Forest, Victory Road, Abundant Shrine, Pinwheel Forest"
550,"Routes 1, 3, 6, 11, 14, Striaton City, Wellspring Cave, Pinwheel Forest, Lostlorn Forest, Dragonspiral Tower, Victory Road, Giant Chasm, Abundant Shrine","Routes 1, 3, 6, 11, 14, Striaton City, Wellspring Cave, Pinwheel Forest, Lostlorn Forest, Dragonspiral Tower, Victory Road, Giant Chasm, Abundant Shrine","Routes 1, 3, 6, 11, 13, 14, 19, 20, 22, 23, Aspertia City, Relic Path, Lostlorn Forest, Village Bridge, Undella Town, Seigaha City, Giant Chasm, Victory Road, Abundant Shrine, Dragonspiral Tower, Clay Road, Pinwheel Forest, Striaton City, Wellspring Cave,","Routes 1, 3, 6, 11, 13, 14, 19, 20, 22, 23, Aspertia City, Relic Path, Lostlorn Forest, Village Bridge, Undella Town, Seigaha City, Giant Chasm, Victory Road, Abundant Shrine, Dragonspiral Tower, Clay Road, Pinwheel Forest, Striaton City, Wellspring Cave,"
551,"Route 4, Desert Resort, Relic Castle","Route 4, Desert Resort, Relic Castle","Route 4, Desert Resort, Relic Castle","Route 4, Desert Resort, Relic Castle"
552,Relic Castle,Relic Castle,Relic Castle,Relic Castle
553,Evolution,Evolution,Evolution,Evolution
554,"Route 4, Desert Resort","Route 4, Desert Resort","Route 4, Desert Resort","Route 4, Desert Resort"
555,Desert Resort,Desert Resort,Evolution,Evolution
556,Desert Resort,Desert Resort,Desert Resort,Desert Resort
557,"Route 18, Desert Resort","Route 18, Desert Resort",Desert Resort,Desert Resort
558,Route 18,Route 18,Route 18; Seaside Cave (One Available),Route 18; Seaside Cave (One Available)
559,"Routes 4, 18, Desert Resort","Routes 4, 18, Desert Resort","Route 4, Desert Resort","Route 4, Desert Resort"
560,Evolution,Evolution,"Route 1, 15, 18, P2 Laboratory","Route 1, 15, 18, P2 Laboratory"
561,Desert Resort,Desert Resort,Desert Resort,Desert Resort
562,Relic Castle,Relic Castle,Relic Castle,Relic Castle
563,Relic Castle,Relic Castle,Evolution,Evolution
564,Fossil from Relic Castle,Fossil from Relic Castle,Fossil from Nacrene City GYM,Fossil from Nacrene City GYM
565,Evolution,Evolution,Evolution,Evolution
566,Fossil from Relic Castle,Fossil from Relic Castle,Fossil from Nacrene City GYM,Fossil from Nacrene City GYM
567,Evolution,Evolution,Evolution,Evolution
568,"Routes 5, 16","Routes 5, 16","Routes 4, 5, 16","Routes 4, 5, 16"
569,Route 9,Route 9,Route 9,Route 9
570,Castelia City (Gift),Castelia City (Gift),Driftveil City (Gift),Driftveil City (Gift)
571,Lostlorn Forest,Lostlorn Forest,Evolution,Evolution
572,"Routes 5, 9, 16, Cold Storage","Routes 5, 9, 16, Cold Storage","Routes 5, 9, 16","Routes 5, 9, 16"
573,"Routes 5, 9, 16, Cold Storage","Routes 5, 9, 16, Cold Storage","Routes 5, 9, 16","Routes 5, 9, 16"
574,"Routes 5, 16",Trade,"Routes 5, 16, Stranger's House",Trade
575,Route 9,Trade,"Route 9, Stranger's House",Trade
576,Route 9,Trade,Route 9,Trade
577,Trade,"Routes 5, 16",Trade,"Routes 5, 16, Stranger's House"
578,Trade,Route 9,Trade,"Route 9, Stranger's House"
579,Trade,Route 9,Trade,Route 9
580,Driftveil Drawbridge,Driftveil Drawbridge,Driftveil Drawbridge,Driftveil Drawbridge
581,Marvelous Bridge,Marvelous Bridge,Marvelous Bridge,Marvelous Bridge
582,"Route 6, Cold Storage, Dragonspiral Tower","Route 6, Cold Storage, Dragonspiral Tower",Breeding,Breeding
583,Dragonspiral Tower,Dragonspiral Tower,Giant Chasm (All Seasons); Dragonspiral Tower (Winter),Giant Chasm (All Seasons); Dragonspiral Tower (Winter)
584,Evolution,Evolution,Giant Chasm (All Seasons); Dragonspiral Tower (Winter),Giant Chasm (All Seasons); Dragonspiral Tower (Winter)
585,"Routes 6, 7, Dragonspiral Tower","Routes 6, 7, Dragonspiral Tower","Routes 6, 7","Routes 6, 7"
586,Dragonspiral Tower,Dragonspiral Tower,Dragonspiral Tower,Dragonspiral Tower
587,"Routes 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, Lostlorn Forest, Giant Chasm, Abundant Shrine, Dragonspiral Tower","Routes 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, Lostlorn Forest, Giant Chasm, Abundant Shrine, Dragonspiral Tower","Routes 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 22, 23, Lostlorn Forest, Village Bridge, Abundant Shrine, Dragonspiral Tower","Routes 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 22, 23, Lostlorn Forest, Village Bridge, Abundant Shrine, Dragonspiral Tower"
588,"Routes 6, 11","Routes 6, 11","Routes 6, 11 (All Seasons); Route 8, Moor of Icirrus, Icirrus City (Spring, Summer, Autumn)","Routes 6, 11 (All Seasons); Route 8, Moor of Icirrus, Icirrus City (Spring, Summer, Autumn)"
589,Evolution,Evolution,Evolution,Evolution
590,"Routes 6, 7, 10","Routes 6, 7, 10","Routes 6, 7; Routes 5, 6, 13 (Hidden Holes)","Routes 6, 7; Routes 5, 6, 13 (Hidden Holes)"
591,"Routes 10, 11","Routes 10, 11","Routes 11, 22, 23; Route 22, Pinwheel Forest, Abundant Shrine (Hidden Holes)","Routes 11, 22, 23; Route 22, Pinwheel Forest, Abundant Shrine (Hidden Holes)"
592,"Routes 4, 17, 18, Driftveil City, P2 Laboratory","Routes 4, 17, 18, Driftveil City, P2 Laboratory","Routes 4, 13, 17, 18, 21, Virbank City, Virbank Complex, Undella Town, Undella Bay, Seaside Cave, Seigaiha City, P2 Laboratory","Routes 4, 13, 17, 18, 21, Virbank City, Virbank Complex, Undella Town, Undella Bay, Seaside Cave, Seigaiha City, P2 Laboratory"
593,"Routes 4, 17, 18, Driftveil City, P2 Laboratory","Routes 4, 17, 18, Driftveil City, P2 Laboratory","Routes 4, 13, 17, 18, 21, Virbank City, Virbank Complex, Undella Town, Seaside Cave, Seigaiha City, P2 Laboratory (All Seasons); Undella Bay (Spring, Summer, Autumn)","Routes 4, 13, 17, 18, 21, Virbank City, Virbank Complex, Undella Town, Seaside Cave, Seigaiha City, P2 Laboratory (All Seasons); Undella Bay (Spring, Summer, Autumn)"
594,"Routes 4, 17, 18, Driftveil City, P2 Laboratory","Routes 4, 17, 18, Driftveil City, P2 Laboratory","Routes 4, 17, 18, 21, Virbank City, Virbank Complex, P2 Laboratory","Routes 4, 17, 18, 21, Virbank City, Virbank Complex, P2 Laboratory"
595,Chargestone Cave,Chargestone Cave,Chargestone Cave,Chargestone Cave
596,Evolution,Evolution,Evolution,Evolution
597,Chargestone Cave,Chargestone Cave,Chargestone Cave,Chargestone Cave
598,Evolution,Evolution,Evolution,Evolution
599,Chargestone Cave,Chargestone Cave,Chargestone Cave,Chargestone Cave
600,Evolution,Evolution,P2 Laboratory,P2 Laboratory
601,Evolution,Evolution,P2 Laboratory,P2 Laboratory
602,Chargestone Cave,Chargestone Cave,"Chargestone Cave, Seaside Cave","Chargestone Cave, Seaside Cave"
603,Evolution,Evolution,Seaside Cave,Seaside Cave
604,Evolution,Evolution,Evolution,Evolution
605,Celestial Tower,Celestial Tower,Celestial Tower,Celestial Tower
606,Route 14,Route 14,Evolution,Evolution
607,Celestial Tower,Celestial Tower,"Celestial Tower, Stranger's House","Celestial Tower, Stranger's House"
608,Evolution,Evolution,Evolution,Evolution
609,Evolution,Evolution,Evolution,Evolution
610,Mistralton Cave,Mistralton Cave,Mistralton Cave,Mistralton Cave
611,Victory Road,Victory Road,Nature Sanctuary,Nature Sanctuary
612,Evolution,Evolution,Nature Sanctuary,Nature Sanctuary
613,"Route 7 (Winter), Twist Mountain (All), Dragonspiral Tower (Winter)","Route 7 (Winter), Twist Mountain (All), Dragonspiral Tower (Winter)",Route 7 (Winter),Route 7 (Winter)
614,Dragon Spiral Tower (Winter),Dragon Spiral Tower (Winter),"Twist Mountain (All), Dragonspiral Tower (Winter)","Twist Mountain (All), Dragonspiral Tower (Winter)"
615,Twist Mountain,Twist Mountain,Twist Mountain,Twist Mountain
616,"Route 8, Moor of Icirrus, Icirrus City (Spring, Summer, Autumn)","Route 8, Moor of Icirrus, Icirrus City (Spring, Summer, Autumn)","Routes 6, 11 (All Seasons); Route 8, Moor of Icirrus, Icirrus City (Winter)","Routes 6, 11 (All Seasons); Route 8, Moor of Icirrus, Icirrus City (Winter)"
617,Evolution,Evolution,Evolution,Evolution
618,"Route 8, Icirrus City","Route 8, Icirrus City","Route 8, Moor of Icirrus, Icirrus City","Route 8, Moor of Icirrus, Icirrus City"
619,"Route 14, Dragonspiral Tower, Victory Road","Route 14, Dragonspiral Tower, Victory Road","Routes 14, 22, 23 (All Seasons); Dragonspiral Tower (Winter)","Routes 14, 22, 23 (All Seasons); Dragonspiral Tower (Winter)"
620,Route 14,Route 14,"Route 23, Dragonspiral Tower","Route 23, Dragonspiral Tower"
621,Dragonspiral Tower,Dragonspiral Tower,"Victory Road, Dragonspiral Tower","Victory Road, Dragonspiral Tower"
622,Dragonspiral Tower,Dragonspiral Tower,Breeding,Breeding
623,Evolution,Evolution,"Victory Road, Dragonspiral Tower","Victory Road, Dragonspiral Tower"
624,"Routes 9, 11","Routes 9, 11",Route 9,Route 9
625,Route 11,Route 11,Evolution,Evolution
626,Route 10,Route 10,Route 23; Route 9 (Hidden Hole),Route 23; Route 9 (Hidden Hole)
627,Trade,"Routes 10, 11, Victory Road",Trade,Route 23
628,Trade,Route 11,Trade,"Route 4 (Thursdays, One Available)"
629,"Routes 10, 11, Victory Road",Trade,Route 23,Trade
630,Route 11,Trade,"Route 4 (Thursdays, One Available)",Trade
631,Victory Road,Victory Road,Twist Mountain,Twist Mountain
632,Victory Road,Victory Road,"Clay Road, Twist Mountain","Clay Road, Twist Mountain"
633,Victory Road,Victory Road,Breeding,Breeding
634,Evolution,Evolution,Victory Road,Victory Road
635,Evolution,Evolution,Evolution,Trade
636,Route 18 (Gift),Route 18 (Gift),Breeding,Breeding
637,Relic Castle (One Available),Relic Castle (One Available),Relic Castle (One Available),Relic Castle (One Available)
638,Mistralton Cave (One Available),Mistralton Cave (One Available),Route 13 (One Available),Route 13 (One Available)
639,Victory Road (One Available),Victory Road (One Available),Route 22 (One Available),Route 22 (One Available)
640,Pinwheel Forest (One Available),Pinwheel Forest (One Available),Route 11 (One Available),Route 11v
641,"Roaming in Routes 1, 2, 3, 4, 5, 6, 14, 15, 16 (Morning), Roaming in Routes 7, 8, 9, 10, 11, 12, 13 (Evening, One Available)",Trade,Trade,Trade
642,Trade,"Roaming in Routes 1, 2, 3, 4, 5, 6, 14, 15, 16 (Morning), Roaming in Routes 7, 8, 9, 10, 11, 12, 13 (Evening,One Available)",Trade,Trade
643,N's Castle (One Available),Trade,Trade,Dragonspiral Tower (One Available)
644,Trade,N's Castle (One Available),Dragonspiral Tower (One Available),Trade
645,Abundant Shrine (One Available),Abundant Shrine (One Available),Trade,Trade
646,Giant Chasm (One Available),Giant Chasm (One Available),Giant Chasm (One Available),Giant Chasm (One Available)
647,Trade,Trade,Trade,Trade
648,Trade,Trade,Trade,Trade
649,Trade,Trade,Trade,Trade
